what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350054203333
error,log,,,"CPU architecture type not set. ",1350054203333
error,log,,,"CPU master group not set.",1350054203333
error,log,,,"SOPC design not set.",1350054203380
error,log,,,"CPU module not set.",1350054203380
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350054203380
error,log,,,"CPU architecture type not set. ",1350054203380
error,log,,,"CPU master group not set.",1350054203380
error,log,,,"SOPC design not set.",1350054203411
error,log,,,"CPU module not set.",1350054203411
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350054203411
error,log,,,"CPU architecture type not set. ",1350054203411
error,log,,,"CPU master group not set.",1350054203411
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054204581
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1350054204597
opened,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350054207296
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1350054207514
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1350054207530
activated,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350054215756
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054226161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054282664
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350054283944
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054286528
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054287670
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350054287780
